Zeit;Zeit_Time;Leistung_Total;Leistung_Max_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS;Ladestrategie;Netzanschluss;Ladequote
560;2024-01-01 09:20:00;900,0;1750;200,0;700,0;0,0;p_max;51350,0;0,998320738874895
565;2024-01-01 09:25:00;614,996366829172;1750;200,0;414,99636682917196;0,0;p_max;51350,0;0,998320738874895
570;2024-01-01 09:30:00;1471,5014339999998;2300;200,0;350,0;921,5014339999999;p_max;51350,0;0,998320738874895
575;2024-01-01 09:35:00;2601,6120820080478;3650;108,00456900804812;700,0;1793,607513;p_max;51350,0;0,998320738874895
580;2024-01-01 09:40:00;3749,326834;4900;100,0;1050,0;2599,326834;p_max;51350,0;0,998320738874895
585;2024-01-01 09:45:00;3808,411901;5250;100,0;1400,0;2308,411901;p_max;51350,0;0,998320738874895
590;2024-01-01 09:50:00;4035,21549802814;6650;100,0;2462,6344822925334;1472,5810157356063;p_max;51350,0;0,998320738874895
595;2024-01-01 09:55:00;4608,301190874983;7200;100,0;2450,0;2058,3011908749827;p_max;51350,0;0,998320738874895
600;2024-01-01 10:00:00;4122,106079;7550;100,0;3150,0;872,106079;p_max;51350,0;0,998320738874895
605;2024-01-01 10:05:00;7249,326834;10950;100,0;4550,0;2599,326834;p_max;51350,0;0,998320738874895
610;2024-01-01 10:10:00;7279,627247429638;11650;100,0;4898,069611874336;2281,557635555302;p_max;51350,0;0,998320738874895
615;2024-01-01 10:15:00;6575,498285868187;10900;100,0;4832,999660907878;1642,498624960309;p_max;51350,0;0,998320738874895
620;2024-01-01 10:20:00;5710,850131514325;10500;100,0;4580,625638505331;1030,2244930089935;p_max;51350,0;0,998320738874895
625;2024-01-01 10:25:00;6160,319808103808;10850;100,0;4607,358368103793;1452,9614400000155;p_max;51350,0;0,998320738874895
630;2024-01-01 10:30:00;6020,351138999983;11200;100,0;4816,505066;1103,8460729999833;p_max;51350,0;0,998320738874895
635;2024-01-01 10:35:00;6055,116211;10150;100,0;5083,010131999999;872,106079;p_max;51350,0;0,998320738874895
640;2024-01-01 10:40:00;6049,522054931026;10500;100,0;4335,098714822474;1614,4233401085517;p_max;51350,0;0,998320738874895
645;2024-01-01 10:45:00;6847,247147762898;12550;100,0;5039,820429982377;1707,4267177805195;p_max;51350,0;0,998320738874895
650;2024-01-01 10:50:00;7103,881708699977;10150;100,0;4579,687694699976;2424,1940140000006;p_max;51350,0;0,998320738874895
655;2024-01-01 10:55:00;5707,3000070015705;9800;100,0;3635,840001001571;1971,4600059999993;p_max;51350,0;0,998320738874895
660;2024-01-01 11:00:00;5538,402019990666;9800;100,0;3404,2494339906652;2034,1525860000006;p_max;51350,0;0,998320738874895
665;2024-01-01 11:05:00;5349,367422254545;9350;67,79158115247854;3697,9338789849025;1583,641962117165;p_max;51350,0;0,998320738874895
670;2024-01-01 11:10:00;4075,6844377160496;8000;0,0;3554,452811949551;521,2316257664991;p_max;51350,0;0,998320738874895
675;2024-01-01 11:15:00;3967,4736819820496;8000;0,0;3912,82525498205;54,64842699999958;p_max;51350,0;0,998320738874895
680;2024-01-01 11:20:00;5148,116841955905;9700;0,0;4226,6154079559055;921,5014339999999;p_max;51350,0;0,998320738874895
685;2024-01-01 11:25:00;5828,446709807315;10400;0,0;4034,8391968073147;1793,607513;p_max;51350,0;0,998320738874895
690;2024-01-01 11:30:00;6250,925676453956;8650;0,0;3585,212084453956;2665,713592;p_max;51350,0;0,998320738874895
695;2024-01-01 11:35:00;10565,910859091107;12700;0,0;4473,0030125503345;6092,907846540772;p_max;51350,0;0,998320738874895
700;2024-01-01 11:40:00;9280,441341426598;12350;0,0;4101,57591720451;5178,86542422209;p_max;51350,0;0,998320738874895
705;2024-01-01 11:45:00;11925,05899335233;16700;0,0;3854,6948778624874;8070,364115489841;p_max;51350,0;0,998320738874895
710;2024-01-01 11:50:00;10256,911855426237;17050;0,0;3998,137114199241;6258,774741226997;p_max;51350,0;0,998320738874895
715;2024-01-01 11:55:00;8471,9843869256;17700;0,0;2898,869509257223;5573,114877668377;p_max;51350,0;0,998320738874895
720;2024-01-01 12:00:00;8608,584358519787;18700;0,0;3368,7285905634226;5239,855767956363;p_max;51350,0;0,998320738874895
725;2024-01-01 12:05:00;7660,684013770125;19000;0,0;3150,0;4510,684013770124;p_max;51350,0;0,998320738874895
730;2024-01-01 12:10:00;8290,824756348;18950;0,0;3150,0;5140,824756347999;p_max;51350,0;0,998320738874895
735;2024-01-01 12:15:00;7948,156483026853;18650;0,0;3338,2150654558473;4609,941417571005;p_max;51350,0;0,998320738874895
740;2024-01-01 12:20:00;8038,209862364294;15300;0,0;3620,1968052443217;4418,0130571199725;p_max;51350,0;0,998320738874895
745;2024-01-01 12:25:00;5953,980038771402;15650;0,0;3261,1196395281486;2692,8603992432545;p_max;51350,0;0,998320738874895
750;2024-01-01 12:30:00;5216,626555894552;12000;0,0;3590,557307071238;1626,069248823314;p_max;51350,0;0,998320738874895
755;2024-01-01 12:35:00;6113,1337241649135;13000;0,0;4385,912969164914;1727,2207549999994;p_max;51350,0;0,998320738874895
